CODE,TITLE,DATE
M/GN:IH&TG,MARVEL GRAPHIC NOVEL: INCREDIBLE HULK & THING,1987
M/GN:INHS,MARVEL GRAPHIC NOVEL: INHUMANS,1988
M/GN:KULLVOS,MARVEL GRAPHIC NOVEL: KULL THE VALE OF SHADOW,1989
M/GN:PAG,"MARVEL GRAPHIC NOVEL: PUNISHER, ASSASSIN'S GUILD",1988
M/GN:PINT,MARVEL GRAPHIC NOVEL: PUNISHER: INTRUDER,1989
M/GN:SQS,MARVEL GRAPHIC NOVEL: SQUADRON SUPREME: DEATH OF A UNIVERSE,1989
M/GN:SSJD,MARVEL GRAPHIC NOVEL: SILVER SURFER: JUDGMENT DAY,1988
M/GN:T,MARVEL GRAPHIC NOVEL: THOR,1987
M/GN:W/NF,MARVEL GRAPHIC NOVEL: WOLVERINE/NICK FURY: SCORPIO CONNECTION,1989
M/GN:WPACK,MARVEL GRAPHIC NOVEL: WOLFPACK,1987
M/H&L,MARVEL HEROES & LEGENDS,1996-1997
M/HB,MARVEL HEARTBREAKERS,2010
M/HOL,MARVEL HOLIDAY SPECIAL,1991-2008
M/HWEEN ASH,MARVEL HALLOWEEN ASHCAN,2005
M/K,MARVEL KNIGHTS,2000-2001
M/K2,MARVEL KNIGHTS VOL. 2,2002
M/K20TH,MARVEL KNIGHTS 20TH,2019
M/K:H,MARVEL KNIGHTS: HULK,2014
M/K:X,MARVEL KNIGHTS: X-MEN,2014
M/KBP2099,MARVEL KNIGHTS BLACK PANTHER 2099,2004
M/KDD2099,MARVEL KNIGHTS DAREDEVIL 2099,2004
M/KDS,MARVEL KNIGHTS DOUBLE SHOT,2002
M/KINHS2099,MARVEL KNIGHTS INHUMANS 2099,2004
M/KM2099,MARVEL KNIGHTS MUTANT 2099,2004
M/KP2099,MARVEL KNIGHTS PUNISHER 2099,2004
M/KSM,MARVEL KNIGHTS SPIDER-MAN,2004-2006
M/M:DDINO,MARVEL MONSTERS: DEVIL DINOSAUR,2005
M/M:FFF,MARVEL MONSTERS: FIN FANG FOUR,2005
M/M:MOTP,MARVEL MONSTERS: MONSTERS ON THE PROWL,2005
M/M:WMD,MARVEL MONSTERS: WHERE MONSTERS DWELL,2005
M/MANGA,MARVEL MANGAVERSE,2002
M/MANGA:AASS,MARVEL MANGAVERSE: AVENGERS ASSEMBLE,2002
M/MANGA:ET,MARVEL MANGAVERSE: ETERNITY TWILIGHT,2002
M/MANGA:FF,MARVEL MANGAVERSE: FANTASTIC FOUR,2002
M/MANGA:GRS,MARVEL MANGAVERSE: GHOST RIDERS,2002
M/MANGA:ND,MARVEL MANGAVERSE: NEW DAWN,2002
M/MANGA:P,MARVEL MANGAVERSE: PUNISHER,2002
M/MANGA:SM,MARVEL MANGAVERSE: SPIDER-MAN,2002
M/MANGA:X,MARVEL MANGAVERSE: X-MEN,2002
M/MC,MARVEL MYSTERY COMICS,1939-1949
M/MC70A,MARVEL MYSTERY COMICS 70TH ANNIVERSARY SPECIAL,2009
M/NPO,MARVEL NOW! POINT ONE,2012
M/PRM,MARVEL PREMIERE,1972-1981
M/PROJECT,MARVELS PROJECT,2009-2010
M/PRS,MARVEL PRESENTS,1975-1977
M/PRV,MARVEL PREVIEW (MAGAZINE),1975-1981
M/PRVS,MARVEL PREVIEWS,2003-2012
M/R,MARVEL RISING,2018
M/R:A,MARVEL RISING: ALPHA,2018
M/R:MSM/SQG,MARVEL RISING: MS. MARVEL & SQUIRREL GIRL,2018
M/R:O,MARVEL RISING: OMEGA,2018
M/R:SQG/MSM,MARVEL RISING: SQUIRREL GIRL & MS. MARVEL,2018
M/S&L,MARVEL SHADOWS & LIGHT,1997
M/S-H,MARVEL SUPER-HEROES,1967-1982
M/S-H2,MARVEL SUPER-HEROES VOL. 2,1979-1983
M/S-H3,MARVEL SUPER-HEROES VOL. 3,1990-1993
M/S-HCOC,MARVEL SUPER HERO CONTEST OF CHAMPIONS,1982
M/S-HSECWARS,MARVEL SUPER-HEROES SECRET WARS,1984-1985
M/SA,MARVEL SUPER-ACTION (MAGAZINE),1976
M/SAGA,MARVEL SAGA,1985-1987
M/SPT,MARVEL SPOTLIGHT,1971-1977
M/SPT2,MARVEL SPOTLIGHT VOL. 2,1979-1981
M/SSPEC,MARVEL SUPER-SPECIAL (MAGAZINE),1977-1986
M/TA,MARVEL TRIPLE ACTION,
M/TAILS,MARVEL TAILS,1983
M/TALES,MARVEL TALES,1949-1957
M/TALES2,MARVEL TALES VOL. 2,1966-1994
M/TE,MARVEL TREASURY EDITION,1974-1981
M/TIO,MARVEL TWO-IN-ONE,1974-1983
M/TOP,MARVEL TOP 6: WILD ANGELS,1996
M/TSUM,MARVEL TSUM TSUM,2016-2017
M/TU,MARVEL TEAM-UP,1972-1985
M/TU2,MARVEL TEAM-UP VOL. 2,1997-1998
M/TU3,MARVEL TEAM-UP VOL. 3,2005-2006
M/TU4,MARVEL TEAM-UP VOL. 4,2019
M/TV:GLCTS,MARVEL TV: GALACTUS,2009
M/U,MARVEL UNIVERSE,1998
M/UACCHEM,MARVEL UNIVERSE ACCORDING TO HEMBECK TPB,2016
M/UULTSM,MARVEL UNIVERSE ULTIMATE SPIDER-MAN,2012-2014
M/VAL SPEC,MARVEL VALENTINE SPECIAL,1997
M/VAULT:DEF,MARVEL VAULT: DEFENDERS,2011
M/VAULT:DS,MARVEL VAULT: DOCTOR STRANGE,2011
M/VAULT:GAM&CHMPS,MARVEL VAULT: GAMBIT & THE CHAMPIONS,2011
M/VAULT:IH&HT,MARVEL VAULT: INCREDIBLE HULK & HUMAN TORCH,2011
M/VAULT:TB,MARVEL VAULT: THUNDERBOLTS,2011
M/W:KC&AG,MARVEL WESTERNS: KID COLT AND THE ARIZONA GIRL,2006
M/W:SW,MARVEL WESTERNS: STRANGE WESTERNS,2006
M/W:TGK,MARVEL WESTERNS: TWO-GUN KID,2006
M/W:WL,MARVEL WESTERNS: WESTERN LEGENDS,2006
M/YIR,MARVEL YEAR IN REVIEW,2008-2009
M/Z,MARVEL ZOMBIES,2006
M/Z2,MARVEL ZOMBIES 2,2007-2008
M/Z3,MARVEL ZOMBIES 3,2008-2009
M/Z4,MARVEL ZOMBIES 4,2009
M/Z5,MARVEL ZOMBIES 5,2010
M/Z6,MARVEL ZOMBIES VOL. 6,2015
M/Z:DD,MARVEL ZOMBIES: DEAD DAYS,2007
M/Z:EE,MARVEL ZOMBIES: EVIL EVOLUTION,2010
M/ZHWEEN,MARVEL ZOMBIES HALLOWEEN,2012
M/ZR,MARVEL ZOMBIES RETURN,2009
M/ZS,MARVEL ZOMBIES SUPREME,2011
M/ZV.AOD,MARVEL ZOMBIES VS. ARMY OF DARKNESS,2007
M:DS,MAGNETO: DARK SEDUCTION,2000
M:NH,MAGNETO: NOT A HERO,2012
M-T,MAN-THING,1970-1975
M-T2,MAN-THING VOL. 2,1979-1981
M-T3,MAN-THING VOL. 3,1997-1998
M-T5,MAN-THING VOL. 5,2017
MA,MIGHTY AVENGERS,2007-2010
MA2,MIGHTY AVENGERS VOL. 2,2013-2014
MADROX,MADROX,2004-2005
MAGMFM,MAGNETIC MEN FEATURING MAGNETO,1996
MAJX,MAJOR X,2019
MANC,MAN COMICS,1949-1953
MANTRA,MANTRA,1993-1995
MANTRA2,MANTRA VOL. 2,1995-1996
MANTRA ∞,MANTRA ∞,1995
MANTRA:SOD,MANTRA: SPEAR OF DESTINY,1995
MARGIEC,MARGIE COMICS,1946-1949
MARVELS,MARVELS,1994
MARVELS:EYE,MARVELS: EYE OF THE CAMERA,2009-2010
MARVILLE,MARVILLE,2002-2003
MAV,MAVERICK,1997
MAV2,MAVERICK VOL. 2,1997-1999
MAXSEC,MAXIMUM SECURITY,2000-2001
MAXSEC:DP,MAXIMUM SECURITY: DANGEROUS PLANET,2000
MB,MARVEL BOY,1950-1951
MB2,MARVEL BOY VOL. 2,2000-2001
MB:URAN,MARVEL BOY: URANIAN,2010
MCM,MIGHTY CAPTAIN MARVEL,2017
MCPBOD,MCP BOARD OF DIRECTORS,2000-
MEKANIX,MEKANIX,2002-2003
MENACE,MENACE,1953-1954
MENADV,MEN'S ADVENTURES,1950-1954
MEPHV.,MEPHISTO VS. ...,1987
MERC,MARK HAZZARD: MERC,1986-1987
MERRYX HSPEC,MERRY X-MEN HOLIDAY SPECIAL,2019
MG&DDINO,MOON GIRL & DEVIL DINOSAUR,2016-2019
MG:I,MORTIGAN GOTH: IMMORTALIS,1993-1994
MGK,MAGIK,1983-1984
MGK2,MAGIK VOL. 2,2000-2001
MHDS,MYSTIC HANDS OF DOCTOR STRANGE,2010
MICRO,MICRONAUTS,1979-1984
MICRO2,MICRONAUTS: NEW VOYAGES,1984-1986
MICROCHIP,PUNISHER: ORIGIN OF MICROCHIP,1993
MILLIEM,MILLIE THE MODEL,1945-1973
MIMO:ULTSM,MILES MORALES: ULTIMATE SPIDER-MAN,2014-
MIMOSM,MILES MORALES: SPIDER-MAN,2018-
MINCRNG:ALPHA,MINIMUM CARNAGE: ALPHA,2012
MINCRNG:OMEGA,MINIMUM CARNAGE: OMEGA,2013
MISSA,MISS AMERICA,1953-1958
MISSAC,MISS AMERICA COMICS,1944
MISSAC70A,MISS AMERICA COMICS 70TH ANNIVERSARY SPECIAL,2009
MISSAMAG,MISS AMERICA MAGAZINE,1944-1945
MISSAMAG2,MISS AMERICA MAGAZINE VOL. 2,1945
MISSAMAG3,MISS AMERICA MAGAZINE VOL. 3,1945-1946
MISSAMAG4,MISS AMERICA MAGAZINE VOL. 4,1946
MISSAMAG5,MISS AMERICA MAGAZINE VOL. 5,1946-1947
MISSAMAG6,MISS AMERICA MAGAZINE VOL. 6,1947
MISSAMAG7,MISS AMERICA MAGAZINE VOL. 7,1947-1953
MISSF,MISS FURY,1944-1945
MITZIBF,MITZI'S BOY FRIEND,1948-1949
MITZIC,MITZI COMICS,1948
MITZIROM,MITZI'S ROMANCES,1949
MK,MOON KNIGHT,1980-1984
MK2,MOON KNIGHT VOL. 2 (FIST OF KHONSHU),1985
MK3,MOON KNIGHT VOL. 3,1998
MK4,MOON KNIGHT VOL. 4 (HIGH STRANGERS),1999
MK5,MOON KNIGHT VOL. 5,2006-2009
MK6,MOON KNIGHT VOL. 6,2011-2012
MK7,MOON KNIGHT VOL. 7,2014-2015
MK8,MOON KNIGHT VOL. 8,2016-2017
MK:DWF,MOON KNIGHT: DIVIDED WE FALL,1992
MK:SK,MOON KNIGHT: SILENT KNIGHT,2009
MLASM,MANY LOVES OF AMAZING SPIDER-MAN,2010
MM,MACHINE MAN,1978-1981
MM2,MACHINE MAN VOL. 2,1984-1985
MM/:SECINV,MINI-MARVELS: SECRET INVASION TPB,2009
MM/BSTN,MACHINE MAN/BASTION,1998
MMACAD,MUTANT MISADVENTURES OF CLOAK AND DAGGER,1988-1990
MMEN,MYSTERY MEN,2011
MMOUTH,MOTORMOUTH,1992
MMOUTH&KP,MOTORMOUTH & KILLPOWER,1992-1993
MOCK,MOCKINGBIRD,2016
MODELS,MODELS INC.,2009-2010
MODOK:ASSN,M.O.D.O.K.: ASSASSIN,2015
MOKF,MASTER OF KUNG FU,1974-1983
MOKF2,MASTER OF KUNG FU VOL. 2,2015
MOKF:BB,MASTER OF KUNG FU: BLEEDING BLACK,1991
MONF,MONSTER OF FRANKENSTEIN,1973
MONTHLY BESSATSU SHONEN MAG,MONTHLY MESSATSU SHONEN MAGAZINE,1970-1971
MORB:LV,MORBIUS: LIVING VAMPIRE,1992-1995
MORB:LV2,MORBIUS: LIVING VAMPIRE VOL. 2,2013
MORLOCKS,MORLOCKS,2002
MOSAIC,MOSAIC,2016-2017
MOTION PICTURES FUNNIES WEEKLY,MOTION PICTURES FUNNIES WEEKLY,1939
MOTP,MONSTERS ON THE PROWL,1971-1974
MR,MAGNETO REX,1999
MR&MRSX,MR. AND MRS. X,2018-2019
MRSDP&HC,MRS. DEADPOOL & HOWLING COMMANDOS,2015
MSG,"MATT SLADE, GUNFIGHTER",1956
MSKRULLS,MEET THE SKRULLS,2019
MSM,MS. MARVEL,1977-1979
MSM2,MS. MARVEL VOL. 2,2006-2010
MSM3,MS. MARVEL VOL. 3,2014-
MSM4,MS. MARVEL VOL. 4,2016-2019
MSM SPEC,MS. MARVEL SPECIAL,2007
MSM:S,MS. MARVEL: STORYTELLER,2009
MSMK,MARC SPECTOR: MOON KNIGHT,1989-1994
MSMKSE,MARC SPECTOR: MOON KNIGHT SPECIAL EDITION,1992
MSTQ,MYSTIQUE,2003-2005
MSU,MIDNIGHT SUNS UNLIMITED,1993-1995
MT,MIGHTY THOR,2011-2012
MT2,MIGHTY THOR VOL. 2,2016-2017
MT:GATES,MIGHTY THOR: AT THE GATES OF VALHALLA,2018
MTALES,MYSTERY TALES,1952-1957
MTEEN,MACHINE TEEN,2005
MTW,MYS-TECH WARS,1993
MU,MONSTERS UNLEASHED! (MAGAZINE),1973-1975
MU2,MONSTERS UNLEASHED! VOL. 2,2017
MU3,MONSTERS UNLEASHED! VOL. 3,2017-2018
MULTM,MULTIPLE MAN,2018
MUTIES,MUTIES,2002
MUTOPIA,MUTOPIA X,2005-2006
MWM/2,MIGHTY WORLD OF MARVEL VOL. 2,
MX,MUTANT X,1998-2001
MYFIRMA,MY FRIEND IRMA,1950-1955
MYS,MYSTIC,1951-1957
MYSARC:BK,MYSTIC ARCANA: BLACK KNIGHT,2007
MYSARC:M,MYSTIC ARCANA: MAGIK,2007
MYSARC:SCRW,MYSTIC ARCANA: SCARLET WITCH,2007
MYSARC:SGRIMM,MYSTIC ARCANA: SISTER GRIMM,2008
MYSC,MYSTIC COMICS,1940-1942
MYSC2,MYSTIC COMICS VOL. 2,1944-1945
MYSC70A,MYSTIC COMICS 70TH ANNIVERSARY SPECIAL,2009
N,NAMOR,2003-2004
N:BD,NAMOR: THE BEST DEFENSE,2019
N:FM,NAMOR: THE FIRST MUTANT,2010-2011
NA,NEW AVENGERS,2005-2010
NA2,NEW AVENGERS VOL. 2,2010-2013
NA3,NEW AVENGERS VOL. 3,2013-2015
NA4,NEW AVENGERS VOL. 4,2015-2017
NA/TRANSFORMERS,NEW AVENGERS/TRANSFORMERS,2007
NA:FINALE,NEW AVENGERS: FINALE,2010
NA:ILLUM,NEW AVENGERS: ILLUMINATI,2006
NA:ILLUM2,NEW AVENGERS: ILLUMINATI VOL. 2,2007-2008
NA:LC,NEW AVENGERS: LUKE CAGE,2010
NA:MWF,NEW AVENGERS: MOST WANTED FILES,2006
NA:R,NEW AVENGERS: REUNION,2009
NA:UFVR,NEW AVENGERS: ULTRON FOREVER,2015
NAM,'NAM,1986-1993
NAMORA,NAMORA,1948
NAMORA2,NAMORA VOL. 2,2010
NATX,NATION X,2010
NATX:XF,NATION X: X-FACTOR,2010
NBE,NOT BRAND ECHH,1967-1969
NC,NIGHTCRAWLER,1985-1986
NC2,NIGHTCRAWLER VOL. 2,2002
NC3,NIGHTCRAWLER VOL. 3,2004-2006
NC4,NIGHTCRAWLER VOL. 4,2014-2015
NCAT,NIGHTCAT,1991
NDEF,NEW DEFENDERS,1983-1986
NELLIEN,NELLIE THE NURSE,1945-1952
NEX,NEW EXILES,2008-2009
NF,NICK FURY,2017
NFAOS,"NICK FURY, AGENT OF S.H.I.E.L.D.",1968-1971
NFAOS3,"NICK FURY, AGENT OF S.H.I.E.L.D. VOL. 3",1989-1993
NFHC,NICK FURY'S HOWLING COMMANDOS,2005
NFV.SHIELD,NICK FURY VS. S.H.I.E.L.D.,1988
NHAWK,NIGHTHAWK,1998
NHAWK2,NIGHTHAWK VOL. 2,2016
NIGHTW,NIGHTWATCH,1994-1995
NINV,NEW INVADERS,2004
NM,NEW MUTANTS,1983-1991
NM2,NEW MUTANTS VOL. 2,2003-2004
NM3,NEW MUTANTS VOL. 3,2009-2012
NM:DS,NEW MUTANTS: DEAD SOULS,2018
NM:TD,NEW MUTANTS: TRUTH OR DEATH,1997-1998
NM:WC,NEW MUTANTS: WAR CHILDREN,2019
NMAN,NIGHT MAN,1993-1995
NMAN2,NIGHT MAN VOL. 2,1995
NMAN ∞,NIGHT MAN ∞,1995
NMAN/GAM,NIGHT MAN/GAMBIT,1996
NMANGA,NEW MANGAVERSE,2006
NMANV.W,NIGHT MAN VS. WOLVERINE,1995
NMARE,NIGHTMARE,1994-1995
NMASK,NIGHTMASK,1986-1987
NMSE,NEW MUTANTS SPECIAL EDITION,1985
NMSUM,NEW MUTANTS SUMMER SPECIAL,1990
NN,NIGHT NURSE,1972-1973
NO,NOVA,1976-1979
NO2,NOVA VOL. 2,1994-1995
NO3,NOVA VOL. 3 (HUMAN ROCKET),1999
NO4,NOVA VOL. 4,2007-2010
NO5,NOVA VOL. 5,2013-
NO6,NOVA VOL. 6,2016
NO7,NOVA VOL. 7,2017
NO SPEC,NOVA SPECIAL,2014
NO:ORICH,NOVA: ORIGIN OF RICHARD RIDER,2009
NOM,NOMAD,1990-1991
NOM2,NOMAD VOL. 2,1992-1994
NOM:GIRL,NOMAD: GIRL WITHOUT A WORLD,2009-2010
NORTH,NORTHSTAR,1994
NRAVEN:HOC,NIGHT RAVEN: HOUSE OF CARDS,1991
NS,NIGHTSTALKERS,1992-1994
NSUB,"NAMOR, THE SUB-MARINER",1990-1995
NT,NIGHT THRASHER,1993-1995
NT:4C,NIGHT THRASHER: FOUR CONTROL,1992-1993
NTB,NEW THUNDERBOLTS,2005-2006
NTHMAN,Nth MAN,1989-1990
NW,NEW WARRIORS,1990-1996
NW2,NEW WARRIORS VOL. 2,1999-2000
NW3,NEW WARRIORS VOL. 3,2005-2006
NW4,NEW WARRIORS VOL. 4,2007-2009
NW5,NEW WARRIORS VOL. 5,2013-2014
NX,NEW X-MEN,2001-2004
NX2,NEW X-MEN VOL. 2,2004-2008
NX:ACADXYB,NEW X-MEN: ACADEMY X YEARBOOK,2005
NX:HLNS,NEW X-MEN: HELLIONS,2005
NXCAL,NEW EXCALIBUR,2006-2007
NXTW:AOH,NEXT WAVE: AGENTS OF HATE,2006-2007
NYX,NYX,2003-2005
NYX:NWH,NYX: NO WAY HOME,2008-2009
OBNOXIO,OBNOXIO,1983
OCCA,OCCUPY AVENGERS,2017
OEDGE,OVER THE EDGE,1995-1996
OF,OMEGA FLIGHT,2007
OGR,ORIGINAL GHOST RIDER,1992-1994
OK,OUTLAW KID,1954-1957
OK2,OUTLAW KID VOL. 2,1970-1975
OMHAWK,OLD MAN HAWKEYE,2018-2019
OML,OLD MAN LOGAN,2015
OML2,OLD MAN LOGAN VOL. 2,2016-2017
OMQUL,OLD MAN QUILL,2019-2020
OMTL,ONE MONTH TO LIVE,2010
ONS:E,ONSLAUGHT: EPILOG,1997
ONS:M/U,ONSLAUGHT: MARVEL UNIVERSE,1996
ONS:R,ONSLAUGHT: REBORN,2007-2008
ONS:X,ONSLAUGHT: X-MEN,1996
ONSU,ONSLAUGHT UNLEASHED,2011
ORDER,ORDER,2002
ORDER2,ORDER VOL. 2,2007-2008
ORGN,ORIGIN,2001-2002
ORGNII,ORIGIN II,2014
ORORO,ORORO: BEFORE THE STORM,2005
OSBORN,OSBORN,2011
OSCARC,OSCAR COMICS,1947-1949
OSIEGE,ORIGINS OF SIEGE,2010
OSIN,ORIGINAL SIN,2014
OSIN:HVSIM,ORIGINAL SIN: HULK VS IRON MAN,2014
OSIN:SECA,ORIGINAL SIN: SECRET AVENGERS,2014
OSIN:T&L,ORIGINAL SIN: THOR & LOKI,2014
OSINS,ORIGINAL SINS,2014
OU,OMEGA THE UNKNOWN,1976-1977
P,PUNISHER,1986
P2,PUNISHER VOL. 2,1987-1995
P3,PUNISHER VOL. 3,1995-1997
P4,PUNISHER VOL. 4,1998-1999
P5,PUNISHER VOL. 5,2000-2001
P6,PUNISHER VOL. 6,2001-2004
P7,PUNISHER VOL. 7 (MAX imprint),2004-2009
P8,PUNISHER VOL. 8,2009-2010
P9,PUNISHER VOL. 9,2011-2012
P10,PUNISHER VOL. 10,2014-2015
P11,PUNISHER VOL. 11,2016-2017
P12,PUNISHER VOL. 12,2018-2019
P/BW:SDW,PUNISHER/BLACK WIDOW: SPINNING DOOMSDAY'S WEB,1992
P/CA:B&G,PUNISHER/CAPTAIN AMERICA: BLOOD & GLORY,1992
P:B,PUNISHER BLOODLINES,1991
P:BARRACUDA,PUNISHER PRESENTS: BARRACUDA,2007
P:BV,PUNISHER: BLOODY VALENTINE,2006
P:CELL,PUNISHER: THE CELL,2005
P:DHBE,PUNISHER: DIE HARD IN THE BIG EASY,1992
P:EQ,PUNISHER: EMPTY QUARTER,1994
P:FC,PUNISHER: FRANK CASTLE (MAX imprint),2009
P:FON,PUNISHER: FORCE OF NATURE,2008
P:GF,PUNISHER: G FORCE,1992
P:GI,PUNISHER: GHOSTS OF INNOCENTS,1993
P:ITB,PUNISHER: IN THE BLOOD,2011
P:KG,PUNISHER: KINGDOM GONE,1990
P:LBB,PUNISHER: LITTLE BLACK BOOK,2008
P:MOORS,PUNISHER: BLOOD ON THE MOORS,1991
P:NAKED,PUNISHER: NAKED KILL,2009
P:NE,PUNISHER: NO ESCAPE,1990
P:NM,PUNISHER: NIGHTMARE,2013
P:P,PUNISHER: PRIZE,1990
P:POV,PUNISHER: P.O.V.,1991
P:RX,PUNISHER: RED X-MAS,2005
P:SN,PUNISHER: SILENT NIGHT,2006
P:SOVIET,PUNISHER: SOVIET,2020
P:TOP,PUNISHER: TRIAL OF PUNISHER,2013
P:TYGER,PUNISHER: THE TYGER,2006
P:XMAS,PUNISHER: XMAS,2007
P:XMAS SPEC,PUNISHER: XMAS SPECIAL,2009
P:YO,PUNISHER: YEAR ONE,1994-1995
P2099,PUNISHER 2099,1993-1995
PARKER,PETER PARKER,2010
PARX,PARADISE X,2002-2003
PARX A,PARADISE X A,2003
PARX X,PARADISE X X,2003
PARX:H,PARADISE X: HERALDS,2001-2002
PARX:R,PARADISE X: RAGNAROK,2003
PATSY&HEDY,PATSY AND HEDY,1952-1967
PATSY&PALS,PATSY AND HER PALS,1952-1957
PATSYW,PATSY WALKER,1945-1965
PATSYW:HCAT,PATSY WALKER: HELLCAT,2008-2009
PATSYWAHCAT,"PATSY WALKER, A.K.A. HELLCAT",2016-2017
PATSYWFP,PATSY WALKER'S FASHION PARADE,1966
PBSS,PUNISHER BACK TO SCHOOL SPECIAL,1992-1994
PDPCORPS,PRELUDE TO DEADPOOL CORPS,2010
PEN:REL,PENANCE: RELENTLESS,2007-2008
PF,PSI-FORCE,1986-1989
PH,PLANET HULK,2015
PHOL,PUNISHER HOLIDAY SPECIAL,1993-1995
PHX,PHOENIX (UNTOLD STORY),1984
PHXR,PHOENIX RESURRECTION,1996
PHXR:A,PHOENIX RESURRECTION: AFTERMATH,1996
PHXR:G,PHOENIX RESURRECTION: GENESIS,1995
PHXR:R,PHOENIX RESURRECTION: REVELATIONS,1995
PHXR:ROJG,PHOENIX RESURRECTION: THE RETURN OF JEAN GREY,2018
PITT,PITT,1987
PLASMER,PLASMER,1993-1994
PLINE,POWER LINE,1988-1989
PM,"LUKE CAGE, POWER-MAN",1974-1978
PM&IF,POWER-MAN & IRON FIST,1978-1986
PM&IF2,POWER-MAN & IRON FIST VOL. 2,2011
PM&IF3,POWER-MAN & IRON FIST VOL. 3,2016-2017
PMAX,PUNISHER MAX,2010-2012
PMAX:BUTTERFLY,PUNISHER MAX: BUTTERFLY,2010
PMAX:GC,PUNISHER MAX: GET CASTLE,2010
PMAX:HROD,PUNISHER MAX: HOT RODS OF DEATH,2010
PMAX:HE,PUNISHER MAX: HAPPY ENDING,2010
PMAX:PLTN,PUNISHER MAX: PLATOON,2017-2018
PMAX:TUW,PUNISHER MAX: TINY UGLY WORLD,2010
PNAM,PUNISHER INVADES THE 'NAM,1994
PNOIR,PUNISHER NOIR,2009-2010
PNSUB,"PRINCE NAMOR, THE SUB-MARINER",1984
PO,POINT ONE,2012
POLICEA,POLICE ACTION,1954
POPRIME,POWER OF PRIME,1995
PP,POWER PACK,1984-1991
PP2,POWER PACK VOL. 2,2000
PP3,POWER PACK VOL. 3,2005
PP HSPEC,POWER PACK HOLIDAY SPECIAL,1992
PP:DO,POWER PACK: DAY ONE,2008
PPSM,"PETER PARKER, SPIDER-MAN",1999-2003
PPSM/EL,"PETER PARKER, SPIDER-MAN/ELEKTRA",1998
PPSSHAM,"PETER PORKER, THE SPECTACULAR SPIDER-HAM",1985-1987
PPSSM,"PETER PARKER, THE SPECTACULAR SPIDER-MAN",1976-1987
PPSSM2,"PETER PARKER, THE SPECTACULAR SPIDER-MAN VOL. 2",2017-2018
PRIME,PRIME,1993-1995
PRIME2,PRIME VOL. 2,1995-1996
PRIME ∞,PRIME ∞,1995
PRIME/CA,PRIME/CAPTAIN AMERICA,1996
PRIMEV.IH,PRIME VS. INCREDIBLE HULK,1995
PRO,PROTOTYPE,1993-1995
PROWL,PROWLER,1994-1995
PROWL2,PROWLER VOL. 2,2016-2017
PRY&WSDM,PRYDE & WISDOM,1996
PS:PROLOGUE,PLANET SKAAR: PROLOGUE,2009
PSS,PUNISHER SUMMER SPECIAL,1991-1994
PSYLOCKE,PSYLOCKE,2010
PULSE,PULSE,2004-2006
PULSE:HOM,PULSE: HOUSE OF M,2005
PV.BULL,PUNISHER VS. BULLSEYE,2006
PWJ,PUNISHER WAR JOURNAL,1988-1995
PWJ2,PUNISHER WAR JOURNAL VOL. 2,2007-2009
PWRHSPEPPER,POWERHOUSE PEPPER,1948
PWZ,PUNISHER WAR ZONE,1992-1995
PWZ2,PUNISHER WAR ZONE VOL. 2,2009
PWZ3,PUNISHER WAR ZONE VOL. 3,2012-2013
Q,QUASAR,1989-1994
QP,QUESTPROBE,1984-1985
QS,QUICKSILVER,1997-1998
QS:NS,QUICKSILVER: NO SURRENDER,2018
QUAKE:SHIELD50A,QUAKE: SHIELD 50TH ANNIVERSARY,2015
RAMH,RAMPAGING HULK,1977-1978
RAMH2,RAMPAGING HULK VOL. 2,1998-1999
RAMW,RAMPAGING WOLVERINE,2009
RAV2099,RAVAGE 2099,1992-1995
RESCUE,RESCUE,2010
REVWAR:A,REVOLUTIONARY WAR: ALPHA,2014
REVWAR:DANGEL,REVOLUTIONARY WAR: DARK ANGEL,2014
REVWAR:DHII,REVOLUTIONARY WAR: DEATH'S HEAD II,2014
REVWAR:KOP,REVOLUTIONARY WAR: KNIGHTS OF PENDRAGON,2014
REVWAR:MMOUTH,REVOLUTIONARY WAR: MOTORMOUTH,2014
REVWAR:O,REVOLUTIONARY WAR: OMEGA,2014
REVWAR:SSOLS,REVOLUTIONARY WAR: SUPERSOLDIERS,2014
REVWAR:WARH,REVOLUTIONARY WAR: WARHEADS,2014
RG,ROGUE,1995
RG3,ROGUE VOL. 3,2004-2005
RG:RD,RED GOBLIN: RED DEATH,2019
RG&GAM,ROGUE & GAMBIT,2018
RIPFIRE,RIPFIRE,1995
RK,RAWHIDE KID,1955-1979
RK2,RAWHIDE KID VOL. 2,1985
RK3,RAWHIDE KID VOL. 3,2003
RK4,RAWHIDE KID VOL. 4,2010
RNOBRWNE,RENO BROWNE,1950
ROA,RISE OF APOCALYPSE,1996-1997
ROCKET,ROCKET,2017
ROK,REALM OF KINGS,2010
ROK:IGUARD,REALM OF KINGS: IMPERIAL GUARD,2010
ROK:INHS,REALM OF KINGS: INHUMANS,2010
ROK:SOH,REALM OF KINGS:SON OF HULK,2010
ROM,"ROM, SPACEKNIGHT",1979-1986
ROW,RETURN OF WOLVERINE,2018-2019
ROYALS,ROYALS,2017-2018
RR,ROCKET RACCOON,1985
RR2,ROCKET RACCOON VOL. 2,2014-2015
RR3,ROCKET RACCOON VOL. 3,2017
RR&GROOT,ROCKET RACCOON AND GROOT,2016
RRAVENC,RED RAVEN COMICS,1940
RS,RED SONJA,1977-1979
